Front,Back,Right,Left,Up,Status
2.647,0.681,0.768,1.847,1.538,Nothing detected
2.645,0.691,0.753,1.859,1.505,Nothing detected
2.61,0.703,0.818,1.866,1.501,Nothing detected
2.02,0.741,2.599,0.747,1.491,Nothing detected
1.97,0.759,2.559,0.747,1.481,Nothing detected
1.003,1.08,1.712,0.793,1.48,Nothing detected
0.8,2.521,2.104,0.648,1.49,Nothing detected
0.604,1.858,0.857,0.985,1.507,Nothing detected
0.409,2.273,0.728,1.281,1.507,Nothing detected
0.415,2.247,0.705,2.624,1.509,Nothing detected
1.05,0.76,0.354,1.479,1.534,Nothing detected
2.591,0.737,0.405,2.287,1.537,Nothing detected
2.567,0.766,0.428,2.31,1.539,Nothing detected
2.546,0.784,0.435,2.279,1.539,Nothing detected
2.535,0.788,0.442,2.254,1.539,Nothing detected
0.536,1.311,0.831,3.039,1.532,Nothing detected
0.466,2.298,0.791,2.556,1.545,Nothing detected
1.007,0.564,0.144,0.697,1.585,Anomaly Detected
2.256,0.344,0.145,0.58,1.57,Anomaly Detected
0.708,0.373,0.098,0.589,1.569,Anomaly Detected
0.497,0.583,0.091,0.695,1.569,Anomaly Detected
0.247,0.617,0.087,0.993,1.567,Anomaly Detected
2.866,0.445,0.695,1.955,1.529,Nothing detected
2.854,0.462,0.686,1.952,1.518,Nothing detected
2.932,0.498,0.662,1.95,1.519,Nothing detected
1.042,0.919,1.343,0.63,1.502,Nothing detected
0.982,0.762,2.794,0.57,1.485,Nothing detected
1.886,0.889,2.806,0.609,1.472,Nothing detected
1.026,1.121,3.048,0.753,1.472,Nothing detected
0.773,1.432,2.209,0.998,1.479,Nothing detected
0.737,2.602,0.989,0.719,1.479,Nothing detected
0.802,2.66,1.09,0.817,1.476,Nothing detected
0.827,1.011,0.904,2.437,1.5,Nothing detected
2.412,0.948,0.835,0.908,1.51,Nothing detected
2.467,0.978,0.874,0.912,1.504,Nothing detected
2.427,0.986,0.888,0.9,1.505,Nothing detected
2.393,0.987,0.873,0.89,1.516,Nothing detected
2.362,0.964,0.847,0.911,1.528,Nothing detected
0.874,0.894,0.913,2.398,1.52,Nothing detected
0.846,2.04,0.947,2.441,1.521,Nothing detected
0.902,2.444,1.141,0.71,1.549,Nothing detected
1.076,1.081,2.316,0.786,1.552,Nothing detected
0.996,0.753,2.548,0.86,1.559,Nothing detected
1.932,0.712,2.472,0.881,1.549,Nothing detected
2.886,1.126,1.032,1.381,1.547,Nothing detected
2.756,0.551,0.756,1.873,1.536,Nothing detected
2.766,0.551,0.754,1.871,1.505,Nothing detected
2.78,0.559,0.744,1.894,1.507,Nothing detected
0.967,0.915,1.279,0.73,1.493,Nothing detected
0.782,0.765,2.696,0.633,1.479,Nothing detected
0.75,0.688,2.73,0.638,1.469,Nothing detected
1.313,0.885,3.128,0.717,1.465,Nothing detected
0.151,2.852,0.608,0.62,1.471,Anomaly Detected
0.199,2.338,0.296,1.332,1.499,Anomaly Detected
0.202,0.516,0.458,2.874,1.504,Anomaly Detected
0.111,0.448,0.462,2.962,1.499,Anomaly Detected
0.089,0.739,0.578,3.293,0.111,Anomaly Detected
0.081,0.571,0.697,2.556,1.52,Anomaly Detected
2.799,0.518,0.42,0.258,1.551,Anomaly Detected
2.764,0.545,0.431,0.097,1.546,Anomaly Detected
2.788,0.57,0.465,0.087,1.541,Anomaly Detected
2.749,0.563,0.501,0.097,1.533,Anomaly Detected
0.54,0.498,0.104,2.84,1.546,Anomaly Detected
0.077,2.829,0.519,0.504,1.536,Anomaly Detected
0.355,0.564,3.358,0.136,1.554,Anomaly Detected
0.429,0.556,2.943,0.111,1.564,Anomaly Detected
